id=1, plug=CYAN PENTAGON, leftSocket=YELLOW STAR, rightSocket=MAGENTA SQUARE, data=--------------------1
id=2, plug=MAGENTA CIRCLE, leftSocket=CYAN PENTAGON, rightSocket=CYAN STAR, data=-----3-3----2-2-----1
id=3, plug=CYAN CIRCLE, leftSocket=GREEN STAR, rightSocket=BLACK OCTAGON, data=---------------------
id=4, plug=GREEN TRIANGLE, leftSocket=BLUE TRIANGLE, rightSocket=BLACK CIRCLE, data=---------------------
id=5, plug=BLACK PENTAGON, leftSocket=BLUE DIAMOND, rightSocket=MAGENTA STAR, data=1--------------------
id=6, plug=MAGENTA TRIANGLE, leftSocket=WHITE PENTAGON, rightSocket=CYAN TRIANGLE, data=---33-----22--------1
id=7, plug=CYAN SQUARE, leftSocket=YELLOW OCTAGON, rightSocket=BLACK CIRCLE, data=--------------------1
id=8, plug=YELLOW OCTAGON, leftSocket=RED SQUARE, rightSocket=CYAN SQUARE, data=1--------------------
id=9, plug=BLACK STAR, leftSocket=WHITE HEXAGON, rightSocket=WHITE TRIANGLE, data=------3-3----2-2----1
id=10, plug=YELLOW PENTAGON, leftSocket=BLACK OCTAGON, rightSocket=WHITE OCTAGON, data=--------------------1
id=11, plug=BLUE HEXAGON, leftSocket=MAGENTA HEXAGON, rightSocket=WHITE SQUARE, data=1--33-----22---------
id=12, plug=BLUE OCTAGON, leftSocket=BLACK HEXAGON, rightSocket=RED DIAMOND, data=1---3-3----2-2-------
id=13, plug=WHITE PENTAGON, leftSocket=RED CIRCLE, rightSocket=MAGENTA PENTAGON, data=1--------------------
id=14, plug=WHITE TRIANGLE, leftSocket=RED CIRCLE, rightSocket=BLACK PENTAGON, data=---------------------
id=15, plug=MAGENTA OCTAGON, leftSocket=RED PENTAGON, rightSocket=BLUE STAR, data=---------------------
id=16, plug=BLUE CIRCLE, leftSocket=BLUE SQUARE, rightSocket=BLACK TRIANGLE, data=---33-----22---------
id=17, plug=RED DIAMOND, leftSocket=CYAN TRIANGLE, rightSocket=BLUE OCTAGON, data=-----3-3----2-2-----1
id=18, plug=RED CIRCLE, leftSocket=CYAN TRIANGLE, rightSocket=GREEN HEXAGON, data=---------------------
id=19, plug=BLUE PENTAGON, leftSocket=BLACK DIAMOND, rightSocket=MAGENTA HEXAGON, data=---------------------
id=20, plug=BLACK TRIANGLE, leftSocket=RED CIRCLE, rightSocket=YELLOW HEXAGON, data=-----3------2--------
id=21, plug=RED CIRCLE, leftSocket=WHITE TRIANGLE, rightSocket=MAGENTA SQUARE, data=----3------2--------1
id=22, plug=WHITE OCTAGON, leftSocket=BLUE TRIANGLE, rightSocket=WHITE STAR, data=---------------------
id=23, plug=CYAN PENTAGON, leftSocket=YELLOW STAR, rightSocket=GREEN PENTAGON, data=------3-3----2-2-----
id=24, plug=CYAN PENTAGON, leftSocket=RED OCTAGON, rightSocket=BLACK DIAMOND, data=--------------------1
id=25, plug=BLUE PENTAGON, leftSocket=YELLOW SQUARE, rightSocket=BLUE PENTAGON, data=------3-3----2-2-----
id=26, plug=MAGENTA DIAMOND, leftSocket=BLACK HEXAGON, rightSocket=BLACK CIRCLE, data=-----3------2-------1
