id=1, plug=BLACK HEXAGON, leftSocket=CYAN TRIANGLE, rightSocket=BLUE DIAMOND, data=---------------------
id=2, plug=CYAN STAR, leftSocket=BLUE PENTAGON, rightSocket=CYAN HEXAGON, data=-1-1----3-3-----3---1
id=3, plug=BLUE TRIANGLE, leftSocket=GREEN OCTAGON, rightSocket=WHITE HEXAGON, data=-------------------3-
id=4, plug=GREEN OCTAGON, leftSocket=BLUE OCTAGON, rightSocket=BLUE SQUARE, data=-----1------3--------
id=5, plug=CYAN HEXAGON, leftSocket=BLUE DIAMOND, rightSocket=YELLOW STAR, data=-------------------3-
id=6, plug=BLUE CIRCLE, leftSocket=BLUE CIRCLE, rightSocket=MAGENTA SQUARE, data=---------------------
id=7, plug=BLUE TRIANGLE, leftSocket=WHITE HEXAGON, rightSocket=BLACK TRIANGLE, data=---------------------
id=8, plug=YELLOW PENTAGON, leftSocket=BLUE SQUARE, rightSocket=MAGENTA HEXAGON, data=-11111------33333----
id=9, plug=BLUE TRIANGLE, leftSocket=BLUE SQUARE, rightSocket=BLUE TRIANGLE, data=---------------------
id=10, plug=BLUE STAR, leftSocket=GREEN STAR, rightSocket=RED SQUARE, data=-------1------3------
id=11, plug=MAGENTA PENTAGON, leftSocket=YELLOW SQUARE, rightSocket=GREEN DIAMOND, data=---------------------
id=12, plug=WHITE DIAMOND, leftSocket=YELLOW DIAMOND, rightSocket=YELLOW DIAMOND, data=------1------3-------
id=13, plug=BLUE CIRCLE, leftSocket=WHITE OCTAGON, rightSocket=BLACK TRIANGLE, data=-------1------3-----1
id=14, plug=GREEN OCTAGON, leftSocket=RED SQUARE, rightSocket=GREEN OCTAGON, data=-1------3------------
id=15, plug=GREEN DIAMOND, leftSocket=WHITE STAR, rightSocket=GREEN CIRCLE, data=------1------3-------
id=16, plug=WHITE HEXAGON, leftSocket=CYAN SQUARE, rightSocket=CYAN CIRCLE, data=----1------3--------1
id=17, plug=YELLOW OCTAGON, leftSocket=MAGENTA TRIANGLE, rightSocket=BLACK DIAMOND, data=----1------3---------
id=18, plug=YELLOW OCTAGON, leftSocket=WHITE DIAMOND, rightSocket=MAGENTA SQUARE, data=---------------------
id=19, plug=YELLOW SQUARE, leftSocket=BLACK SQUARE, rightSocket=WHITE TRIANGLE, data=----1------3--------1
id=20, plug=GREEN SQUARE, leftSocket=RED HEXAGON, rightSocket=GREEN STAR, data=---1------3---------1
id=21, plug=GREEN OCTAGON, leftSocket=CYAN DIAMOND, rightSocket=YELLOW STAR, data=---1------3-------2--
id=22, plug=WHITE SQUARE, leftSocket=MAGENTA DIAMOND, rightSocket=MAGENTA OCTAGON, data=----1------3---------
id=23, plug=WHITE CIRCLE, leftSocket=BLUE PENTAGON, rightSocket=RED DIAMOND, data=------1------3-------
id=24, plug=CYAN SQUARE, leftSocket=RED SQUARE, rightSocket=RED TRIANGLE, data=---------------------
id=25, plug=GREEN TRIANGLE, leftSocket=CYAN CIRCLE, rightSocket=MAGENTA CIRCLE, data=-1-1----3-3-----3---1
id=26, plug=BLUE TRIANGLE, leftSocket=BLUE STAR, rightSocket=BLACK SQUARE, data=----1------3---------
id=27, plug=MAGENTA TRIANGLE, leftSocket=BLUE CIRCLE, rightSocket=RED SQUARE, data=-----------------2---
